,Description,Job Title,Position Level,Qualifications,Aprobado
0,"- Elaboración de ofertas de equipos y repuestos
- Desarrollo de Migración y Programación de líneas de equipos AC-DC , Servomaquinas.
- Responsable de la capacitación técnica a la fuerza de ventas
- Apoyo técnico al vendedor en definición de productos a utilizar para distintas aplicaciones de automatización.
- Responsable de la comunicación con los distribuidores para resolver aspectos técnicos
- Responsable de la actualización y revisión de los formatos técnicos de selección y oferta
- Apoyo en elaboración de solicitudes de garantía a los fabricantes",Ingeniero Electronico para asesoria comercial,Supervisor,"Experiencia en Automatización Industrial – mínimo 1 años

Sólidos conocimientos de :
- Programación de variadores AC-DC (Indispensable)
- Motion Control (Servodrivers , servomotores) (Indispensable)
- Programación de aplicaciones con variadores de velocidad(Indispensable)
- Experiencia de control de lazo abierto y cerrado con Motores Eléctricos AC –DC  (Indispensable)
- Disponibilidad para viajar al interior y exterior del País
- Brevete (no indispensable)",A
1,"Ejecutar y liderar las operaciones para cumplir con el programa de producción.
Estudiar las etapas del proceso productivo con el fin de brindar alternativas de mejora de los procesos.
Participar activamente en las reuniones de coordinaciones del proceso.
Desarrollar estrategias de acuerdo a las decisiones tomadas en las reuniones de proceso, optimizando los recursos y evaluando los resultados, contribuyendo de este modo a generar la retroalimentación del sistema productivo.
Brindar entrenamiento en temas técnicos al personal operativo para el mejor desarrollo de sus actividades.
Cumplir permanentemente con las normas y procedimientos de seguridad establecidos por la empresa.
Seguir los procedimientos que le competen a fin de reducir los impactos ambientales adversos que puedan estar relacionados con el puesto de trabajo.
Garantizar el cumplimiento los procedimientos operativos definidos para las actividades asignadas y mantener el orden y limpieza de su puesto de trabajo/planta, las buenas prácticas de manufactura a fin de para garantizar la inocuidad de los envases.
Cumplir con los requerimientos establecidos en el Sistema Integrado de Gestión (Calidad, Medio Ambiente, Seguridad y Salud Ocupacional e Inocuidad).
Otras funciones que se le asigne de acuerdo a la naturaleza de su puesto.",Trainee de Manufactura - Owens Illinois,Analista,Mínimo 2 años de experiencia en Plantas industriales.,A
2,"Por encargo de nuestro cliente, importante empresa transnacional de gas natural, se encuentra en la búsqueda de un profesional altamente calificado para asumir la posición de Inspector de Instalaciones Internas. 

Funciones:
- Realizar inspecciones a las instalaciones internas, administrando los recursos para la ejecución de los procesos relacionados a la construcción y habilitación del suministro de clientes residenciales y comerciales, dentro de los procedimientos y normatividad vigente. 
- Inspeccionar y aprobar la construcción y habilitación de las instalaciones internas de los clientes residenciales y comerciales. 
- Administrar los recursos relacionados a la construcción y habilitación del suministro de las instalaciones internas de clientes residenciales y comerciales. 
- Ejecutar pruebas para el control de calidad de materiales y equipos para instalaciones internas. 
- Verificar el contraste de medidores de clientes y pruebas de presión en reguladores.
- Dar seguimiento al servicio de post venta. 
- Presentar informes de las inspecciones realizadas. 
- Cumplir y velar por el cumplimiento de las normas de seguridad en campo. 
- Cumplir lo establecido en la documentación de los sistemas de gestión.",Inspector de Instalaciones Internas,Profesional especializado,"- Profesional técnico o universitario en Ingeniería Mecánica, Ingeniería Mecánica Eléctrica, Ingeniería Electrónica, Ingeniería Industrial o carreras afines. 
- Cursos complementarios de gas natural.
- Constancia de categoría IG-1, IG-2 o IG-3.
- Competencia de Instalador registrado. 
 - Conocimiento de MS Office a nivel básico. 
- Licencia de conducir A1.
- Un año de experiencia como inspector de instalaciones de gas (GN y GLP) o de servicios públicos similares. De preferencia en el sector construcción o hidrocarburos. 
- Experiencia en inspecciones de control de calidad y cumplimiento normativo en servicios diversos, de preferencia tuberías.",A
3,"Participar en las distintas etapas de desarrollo de los proyectos y/o productos que le sean asignados por la empresa.
Participar en el proceso de Análisis de Requerimientos, y Análisis y Diseño.
Participar en la planificación, análisis, diseño, desarrollo, pruebas, implementación y seguimiento de los proyectos y/o productos asignados por la empresa, en los casos que se le asigne.
Mantener actualizada la documentación generada del proyecto y/o producto asignado.
Realizar la capacitación del proyecto y/o producto donde participe, en caso que le sean asignados. 
Evaluar los componentes que se van a necesitar para satisfacer los requerimientos.
Asumir el rol de “Supervisor del Equipo de Desarrollo” cuando le sea designado. Este rol implica supervisar, capacitar y apoyar en caso sea requerido al equipo de desarrollo.",Analista Programador C,Profesional especializado,,A
4,"Planificar y dirigir las actividades del área, optimizando el uso de los recursos humanos y materiales. Programar y ejecutar el plan de mantenimiento, procurando la máxima operatividad de las plantas de tintorería y del área de servicios. Planificar y dirigir proyectos de innovación tecnológica que propicien la reducción de costos. Aplicar conocimiento de cálculo de ingeniería, costos, presupuestos, normas técnicas, seguridad. Atención a requerimientos de reparaciones, coordinar el manejo de stocks, cambio de equipos, etc.

Indispensable experiencia en electrónica industrial y mantenimiento de plantas de tintorería.
Manejo de sistemas automatizados y PLC.",Jefe de Mantenimiento de Tintorería,Profesional especializado,,A
5,"•	Soporte a las operaciones del NOC de datos e internet satelital.
•	Brindar soporte a los comisionamientos, aprovisionar circuitos de terminales.
•	atender en primer contacto los escalamientos de incidencias y monitorear las señales de los indicadores de los sistemas.
•	Reportar directamente a la coordinación de O&M del NOC.
•	Soporte en la implementación de nuevos cambios en los sistemas.",Ingeniero (a) de Soporte,Analista,"•	Experiencia de 2 años al menos en Networking.
•	Experiencia en NOC.
•	Deseable inglés intermedio.
•	De preferencia certificado en CCNA.
•	ITIL deseable.
•	Disponibilidad para trabajar en Lurín bajo turnos rotativos.",D
6,"•Analizar la demanda de los ítems para detectar incrementos o decrementos y corregir los pronósticos de demanda.
•Preveer quiebres de stock y evitarlos con pedidos suplementarios.
•Mantener un bajo grado de obsolescencia.
•Revisar las alertas diarias.
•Revisar las sugerencias de compras emitidas.
•Actualizar la base de datos de los repuestos.
•Crear las fichas de producto, información sobre intercambios, nuevas piezas y  consultas sobre códigos de parte.
•Revisión de back orders de clientes y seguimiento de back orders de fábrica.
•Realizar el mantenimiento de las órdenes de compra, ingreso de mercadería al sistema, ajustes, avisos de embarque, coordinación y Agencias de Aduana, seguimiento a pagos y cuenta corriente de proveedores.
•Realizar el análisis de obsolescencia y scrapping de repuestos.
•Realizar la elaboración de pedidos iniciales o de refuerzo por incremento de parque o modelo nuevo.",Analista de Repuestos,Analista,"•Conocimientos de Compras.
•Conocimiento de Inventarios.
•Paquete de Office a nivel intermedio.
•Inglés a nivel avanzado (Se evaluará en entrevista).
. Mínima de 3 años en puestos de Venta de Repuestos y/o Analista de otras marcas.",D
7,"Nuestro cliente, empresa del rubro de banca y retail, nos ha encargado la búsqueda de un profesional calificado para ocupar la posición de Jefe de Canales Electrónicos.

-	Promover los canales electrónicos, colaborando con estrategias para profundizar en las mejoras en el mercado.
-	Analizar la competencia y plantear estrategias de mejora, en coordinación con el área de Marketing.
-	Aumentar la relevancia del canal digital para la compañía.
-	Generar reportes de gestión y análisis de proyectos.",Jefe de Canales Electrónicos,Supervisor,Experiencia de 1 a 2 años en posiciones similares.,D
8,"Planificar las actividades de diseño en el área de ingeniería.
Asignar recursos para los proyectos que ingresan a ingeniería.
Hacer seguimiento diario al avance de los trabajos dentro del área.
Asegurar el cumplimiento de los plazos establecidos.
Coordinar con planeamiento la actualización de la carga de ingeniería.
Asegurar el cumplimiento de las directivas y los procedimientos del área.
Definir las fechas de entregables de ingeniería.
Participar quincenalmente de la reunión de proyectos.
Proponer prioridades para estandarizar los productos que comercializamos
Manejar de manera adecuada la información, documentación a la que accede",Jefe del Área de Ingeniería,Gerencia Media,"De preferencia con Especialización en Gerencia de Proyectos. 
Mínimo contar 5 años de experiencia en la posición. Y de 10 años de experiencia laboral. 
Experiencia previa en Gestionar el departamento de Ingeniería: Ingenieros de aplicaciones, dibujantes y asistentes.
Contar con conocimientos en ISO 9000, normas técnicas IEC, Nema, CNE, NEC, Autocad, Inventor.
Conocimientos específicos en diseño de tableros de Baja y Media Tensión. Diseño de Sub estaciones Unitarias y Salas Eléctricas. Gestión de recursos. SAP y Lotus.
Disponibilidad para laborar de lunes a Viernes de 7:30 am a 5:40 en Cercado de Lima.",A
9,"Gestionar de principio a fin las oportunidades de negocio generadas por el área de Comercial, así como las generadas por sí mismo.
Gestión comercial de los productos industriales en diversos canales de venta: B2B, B2C y distribuidoras. 
Asistir a reuniones para presentar nuestro productos a clientes en cartera y potenciales.
Preparar propuestas comerciales y concluir exitosamente negocios en forma autónoma.
Cumplir metas mensuales, trimestrales y anuales.",Sales Engineer/Executive,Ejecutivo,"4-5 años de experiencia en las áreas comerciales de los sectores minería, petroleo, gas y/o energía.
Dominio del idioma inglés
Experiencia manejando carteras de clientes de mediana y gran envergadura.
Conocimiento del funcionamiento de maquinaria de explotación.
Conocimiento de los procesos productivos de perforación y extracción.
Experiencia en áreas de servicios de venta y post venta de maquinaria.",D
10,"-Asistir y soportar las actividades diárias del área de mantenimiento correctivo, preventivo y predictivo.
-Apoyo y soporte a los técnicos del área en las necesidades de compra de materiales y salidas de almacén.
-Coordinación , abastecimiento de materiales y ejecución de servicios ara las diferentes unidades a nivel Nacional.
-Soporte en las labores de campo y apoyo en la supervisión.",PRACTICANTE DE MANTENIMIENTO MECANICO,Practicante,"Deseable de 06 meses en áreas de Mantenimiento de Planta.
Conocimiento de Autocad nivel básico.",A
